Uuid,Void/Retire,Fully specified name:en,Short name:en,Synonym:en,Description:en,Data class,Data type,Mappings|SAME-AS
610e0bdc-951f-4f2b-994d-41064dbe07bd,,Not age appropriate,,,Vaccine waiver reason,Misc,N/A,
c64a4d09-17a6-4e9e-b1f3-85b7965c4632,,Not indicated due to documented immunity from a previous infection,,,Vaccine waiver reason,Misc,N/A,
3cf8d942-3163-470f-bb0d-63c6e5a18f08,,Insufficient time interval to complete series,,,Vaccine waiver reason,Misc,N/A,
4a1edad6-6c0a-47e3-91ff-eb2f2f8a6971,,Not routinely available,,,Vaccine waiver reason,Misc,N/A,
242cc8b6-6d32-4d2c-b0d8-94cf9130371e,,Flu vaccine not available or indicated,,,Vaccine waiver reason,Misc,N/A,
4d2e995d-868d-4c5a-bd84-b2368c5cde68,,Applicant declined vaccination,,,Vaccine waiver reason,Misc,N/A,
d1afb6b9-52f0-4af8-8041-fea104474454,,Pregnant,,,Vaccine waiver contraindication reason,Misc,N/A,
9ade3dab-aab2-4284-a22d-a6083fe308ae,,Breastfeeding,,,Vaccine waiver contraindication reason,Misc,N/A,
b86ceade-65d9-4f07-bacf-9f014723ee2e,,Known chronic hepatitis B infection,,,Vaccine waiver contraindication reason,Misc,N/A,
e0ed9845-5abc-4841-9189-a6872011dfbc,,Immune compromised,,,Vaccine waiver contraindication reason,Misc,N/A,
9ea76764-4175-4599-8714-7d3b55db6859,,History of allergic reaction to vaccine or vaccine component,,,Vaccine waiver contraindication reason,Misc,N/A,
e22c1a5e-ba16-40ff-92db-25bcd0cac7d5,,Other serious reaction to vaccine,,,Vaccine waiver contraindication reason,Misc,N/A,
bf19324d-b09d-4b66-9ee4-92fc0715738d,,Current illness,,,Vaccine waiver contraindication reason,Misc,N/A,
