Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
Muestras de Laboratorio,0166bbd5-8609-4c78-b830-53512a4cbbd3,CONCEPT-SET,1,,
Muestras de Laboratorio,CIEL:159994,CONCEPT-SET,2,,
Muestras de Laboratorio,CIEL:1001,CONCEPT-SET,3,,
Muestras de Laboratorio,CIEL:1004,CONCEPT-SET,4,,
Muestras de Laboratorio,CIEL:1002,CONCEPT-SET,5,,
Muestras de Laboratorio,CIEL:163368,CONCEPT-SET,6,,
Muestras de Laboratorio,CIEL:159995,CONCEPT-SET,7,,
Muestras de Laboratorio,CIEL:159993,CONCEPT-SET,8,,
Muestras de Laboratorio,CIEL:160013,CONCEPT-SET,9,,
Muestras de Laboratorio,CIEL:169081,CONCEPT-SET,10,,
Muestras de Laboratorio,CIEL:163370,CONCEPT-SET,11,,
Muestras de Laboratorio,CIEL:169083,CONCEPT-SET,12,,
Muestras de Laboratorio,4a716a48-08db-4ecb-b1ae-5b528f369d88,CONCEPT-SET,13,,
Muestras de Laboratorio,CIEL:163350,CONCEPT-SET,14,,
Muestras de Laboratorio,SNOMED-CT:119376003,CONCEPT-SET,15,,
Muestras de Laboratorio,CIEL:163364,CONCEPT-SET,16,,
Muestras de Laboratorio,SNOMED-CT:258524009,CONCEPT-SET,17,,
Muestras de Laboratorio,SNOMED-CT:119325001,CONCEPT-SET,18,,
Muestras de Laboratorio,8578dd94-a066-4851-bb9f-1c7c03360d8b,CONCEPT-SET,19,,
