Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
162101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162102,,1,,
162101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162103,,2,,
162101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162104,,3,,
1004AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:159984,CONCEPT-SET,1,,
1004AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:307,CONCEPT-SET,2,,
1004AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1367,CONCEPT-SET,3,,
1004AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:166550,CONCEPT-SET,4,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161443,CONCEPT-SET,1,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161444,CONCEPT-SET,2,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:159733,CONCEPT-SET,3,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:159734,CONCEPT-SET,4,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161442,CONCEPT-SET,5,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:849,CONCEPT-SET,6,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161439,CONCEPT-SET,7,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161441,CONCEPT-SET,8,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161440,CONCEPT-SET,9,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163696,CONCEPT-SET,10,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163695,CONCEPT-SET,11,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:56,CONCEPT-SET,12,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:167210,CONCEPT-SET,13,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163689,CONCEPT-SET,14,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163687,CONCEPT-SET,15,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164948,CONCEPT-SET,16,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161134,CONCEPT-SET,17,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1875,CONCEPT-SET,18,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163682,CONCEPT-SET,19,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:165392,CONCEPT-SET,20,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161446,CONCEPT-SET,21,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163697,CONCEPT-SET,22,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164947,CONCEPT-SET,23,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162096,CONCEPT-SET,24,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163686,CONCEPT-SET,25,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161156,CONCEPT-SET,26,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:167183,CONCEPT-SET,27,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:165304,CONCEPT-SET,28,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:45,CONCEPT-SET,29,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162106,CONCEPT-SET,30,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161438,CONCEPT-SET,31,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163685,CONCEPT-SET,32,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162101,CONCEPT-SET,33,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161445,CONCEPT-SET,34,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:160735,CONCEPT-SET,35,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163692,CONCEPT-SET,36,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163683,CONCEPT-SET,37,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163684,CONCEPT-SET,38,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163688,CONCEPT-SET,39,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163699,CONCEPT-SET,1,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:160922,CONCEPT-SET,2,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1135,CONCEPT-SET,3,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:857,CONCEPT-SET,4,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:160919,CONCEPT-SET,5,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:160920,CONCEPT-SET,6,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:160921,CONCEPT-SET,7,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1133,CONCEPT-SET,8,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1011,CONCEPT-SET,9,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161511,CONCEPT-SET,10,,
