Uuid,Privilege name,Description
,app:atomfeed-console,Able to access atomfeed console.
,Send SMS,Privilege to send SMS
,app:clinical:addImmunizations,Privilege to add immunizations in clinical module.
,app:clinical:printmedications,Privilege to print Medications
,app:clinical:legacyPatientTabs,Privilege to view legacy patient tabs
,app:patient-documents:legacyPatientTabs,Privilege to view legacy patient documents tabs
,app:radiology-upload:legacyPatientTabs,Privilege to view legacy radiology upload tabs
,app:legacy-registration,Privilege to view legacy patient registration tile
,Approve Amend Note,Allows to Acknowledge the Medication Administration Note
,app:adt:approveAmendNote,Allows to approve amended note in IPD
